Year,Length,Title,Genre,Actor,Actress,Director,Popularity,Awards,Image
1943,99,Destroyer,Action,RobinsonEdward G.,ChapmanMarguerite,SeiterWilliam A.,87,No,NicholasCage.png
1992,99,Party Girl,Comedy,TaylorRobert,CharisseCyd,RayNicholas,85,No,NicholasCage.png
1989,113,Twin Peaks,Mystery,MacLachlanKyle,ChenJoan,LynchDavid,86,No,kyle.png
1987,103,Moonstruck,Comedy,CageNicholas,Cher,JewisonNorman,6,Yes,NicholasCage.png
1987,119,Witches of EastwickThe,Comedy,NicholsonJack,Cher,MillerGeorge,8,No,NicholasCage.png
1979,128,Moonraker,Action,MooreRoger,ChilesLois,GilbertLewis,32,No,NicholasCage.png
1984,106,Beat Street,Drama,DavisGuy,ChongRae Dawn,LathanStan,72,No,NicholasCage.png
1986,88,Running Out of Luck,Comedy,JaggerMick,ChongRae Dawn,,16,No,NicholasCage.png
1989,90,Never on Tuesday,Drama,LauerAndrew,ChristianClaudia,RifkinAdam,77,No,NicholasCage.png
1975,109,Shampoo,Comedy,BeattyWarren,ChristieJulie,AshbyHal,69,Yes,NicholasCage.png
1985,111,Power,Drama,HackmanGene,ChristieJulie,LumetSidney,43,No,NicholasCage.png
1965,122,Darling,Drama,HarveyLaurence,ChristieJulie,SchlesingerJohn,44,Yes,NicholasCage.png
1963,120,Ugly AmericanThe,Drama,BrandoMarlon,ChurchSandra,EnglundGeorge,63,No,brando.png
1931,68,Ambassador Bill,Comedy,RogersWill,ChurchillMarguerite,TaylorSam,66,No,NicholasCage.png
1931,110,Big TrailThe,Western,WayneJohn,ChurchillMarguerite,WalshRaoul,22,No,johnWayne.png
1967,111,Hombre,Western,NewmanPaul,CilentoDiane,RittMartin,50,No,paulNewman.png
1968,103,Coogan's Bluff,Action,EastwoodClint,ClarkSusan,SiegelDon,57,No,clintEastwood.png
1989,91,Penn & Teller Get Killed,Comedy,PennJillette,ClarkeCaitlin,PennArthur,12,No,NicholasCage.png
1987,118,Shy People,Drama,PhilbinJohn,ClayburghJill,KonchalovskyAndrei,7,No,NicholasCage.png
1980,91,It's My Turn,Comedy,DouglasMichael,ClayburghJill,WeillClaudia,0,No,NicholasCage.png
1988,119,Dangerous Liaisons,Drama,MalkovichJohn,CloseGlenn,FrearsStephen,77,No,MichellePfeiffer.png
1990,111,Reversal of Fortune,Drama,IronsJeremy,CloseGlenn,SchroederBarbet,73,Yes,NicholasCage.png
1991,119,Meeting Venus,Comedy,ArestrupNiels,CloseGlenn,SzabóIstván,74,No,NicholasCage.png
1946,105,Tomorrow Is Forever,Drama,WellesOrson,ColbertClaudette,,65,No,NicholasCage.png
1987,101,Like Father Like Son,Comedy,CameronKirk,ColinMargaret,DanielRod,20,No,NicholasCage.png
1948,81,Rope,Drama,StewartJames,CollierConstance,HitchcockAlfred,39,No,alfredHitchcock.png
1962,91,Road to Hong Kong,Comedy,HopeBob,CollinsJoan,PanamaNorman,37,No,NicholasCage.png
1989,108,Shirley Valentine,Comedy,ContiTom,CollinsPauline,GilbertLewis,51,No,NicholasCage.png
1992,135,City of Joy,Drama,SwayzePatrick,CollinsPauline,JoffeRoland,87,No,NicholasCage.png
1966,99,AppaloosaThe,Western,BrandoMarlon,ComerAnjanette,FurieSidney J.,15,No,brando.png
1986,88,Seven Minutes in Heaven,Comedy,ThamesByron,ConnellyJennifer,FefermanLinda,49,No,NicholasCage.png
1991,96,Hearts of DarknessA Filmmaker's Apocalypse,Drama,BottomsSam,CoppolaEleanor,BahrFax,72,No,NicholasCage.png
1961,66,Tonight for Sure,Comedy,LeeKarla,CornellLaura,CoppolaFrancis Ford,4,No,NicholasCage.png
1990,110,White HunterBlack Heart,Adventure,EastwoodClint,CornwellCharlotte,EastwoodClint,66,No,clintEastwood.png
1962,110,Sundays & Cybele,Drama,KrugerHardy,CourcelNicole,BourguignonSerge,11,Yes,NicholasCage.png
1989,90,Puppet Master,Science Fiction,LeMatPaul,CramptonBarbara,SchmoellerDavid,20,No,NicholasCage.png
1991,95,Night Gallery,Horror,McDowallRoddy,CrawfordJoan,SpielbergSteven,31,No,NicholasCage.png
1989,103,Pet Sematary,Horror,GwynneFred,CrosbyDenise,LambertMary,27,No,NicholasCage.png
1992,60,America's MusicGospel,Music,PhippsWentley,CrouchSandra,WaltonKip,13,No,NicholasCage.png
1977,123,Slap Shot,Comedy,NewmanPaul,CrouseLindsay,HillGeorge Roy,82,No,paulNewman.png
1987,109,O. C. & Stiggs,Comedy,JenkinsDaniel H.,CurtinJane,AltmanRobert,3,No,NicholasCage.png
1988,108,A Fish Called Wanda,Comedy,CleeseJohn,CurtisJamie Lee,CrichtonCharles,7,Yes,NicholasCage.png
1954,96,A Lesson in Love,Comedy,BjörnstrandGunnar,DahlbeckEva,BergmanIngmar,48,No,Bergman.png
1957,82,Brink of Life,Drama,JosephsonErland,DahlbeckEva,BergmanIngmar,57,No,Bergman.png
1986,120,Betty Blue,Drama,AngladeJean-Hughes,DalleBéatrice,BeineixJean-Jacques,71,No,NicholasCage.png
1979,122,Hair,Music,SavageJohn,D'AngeloBeverly,FormanMilos,67,No,NicholasCage.png
1989,97,National Lampoon's Christmas Vacation,Comedy,ChaseChevy,D'AngeloBeverly,SJeremiah,81,No,NicholasCage.png
1974,124,Dersu Uzala(The Hunter),Adventure,SolominYuri,DanilchenkoSvetlana,KurosawaAkira,81,Yes,NicholasCage.png
1990,106,Alice,Comedy,BaldwinAlec,DannerBlythe,AllenWoody,22,No,woody.png
1980,90,Fifth FloorThe,Mystery,HopkinsBo,D'ArbanvillePatti,AvedisHoward Hikmet,74,No,NicholasCage.png
1990,94,Snow Kill,Drama,KnoxTerence,D'ArbanvillePatti,WrightThomas J.,35,No,NicholasCage.png
1971,74,PeopleThe,Drama,ShatnerWilliam,DarbyKim,CoppolaFrancis Ford,36,No,NicholasCage.png
1969,128,True Grit,Western,WayneJohn,DarbyKim,HathawayHenry,77,Yes,johnWayne.png
1942,18,Battle of MidwayThe,War,CrispDonald,DarwellJane,FordJohn,75,No,johnFord.png
1948,103,Three Godfathers,Western,WayneJohn,DarwellJane,FordJohn,72,No,johnWayne.png
1965,133,HushHushSweet Charlotte,Mystery,CottenJoseph,DavisBette,AldrichRobert,68,No,NicholasCage.png
1946,110,A Stolen Life,Drama,FordGlenn,DavisBette,BernhardtCurtis,20,No,glennFord.png
1939,96,Old MaidThe,Drama,BrentGeorge,DavisBette,GouldingEdmund,18,No,NicholasCage.png
1950,138,All about Eve,Drama,SandersGeorge,DavisBette,MankiewiczJoseph L.,23,Yes,NicholasCage.png
1986,96,FlyThe,Horror,GoldblumJeff,DavisGeena,CronenbergDavid,33,No,NicholasCage.png
1990,89,Quick Change,Comedy,MurrayBill,DavisGeena,FranklinHoward ,24,No,NicholasCage.png
1988,93,Lair of the White WormThe,Horror,GrantHugh,DavisSammi,RussellKen,16,No,NicholasCage.png
1989,104,RainbowThe,Drama,HemmingsDavid,DavisSammi,RussellKen,53,No,NicholasCage.png
1956,120,Man Who Knew Too MuchThe,Mystery,StewartJames,DayDoris,HitchcockAlfred,15,No,alfredHitchcock.png
1992,90,Beauty & the Beast,Science Fiction,MaraisJean,DayJosette,CocteauJean,14,No,NicholasCage.png
1940,120,Foreign Correspondent,Mystery,McCreaJoel,DayLaraine,HitchcockAlfred,61,No,alfredHitchcock.png
1949,115,HeiressThe,Drama,RichardsonRalph,De HavillandOlivia,WylerWilliam,81,Yes,NicholasCage.png
1986,120,Boy Who Could FlyThe,Drama,UnderwoodJay,DeakinsLucy,CastleNick,25,No,NicholasCage.png
1975,89,TerroristsThe,Action,ConnerySean,DeanIsabel,WredeCaspar,4,No,seanConnery.png
1942,85,Wheel of Fortune,Drama,WayneJohn,DeeFrances,AuerJohn H.,36,No,johnWayne.png
1989,120,Do the Right Thing,Drama,AielloDanny,DeeRuby,LeeSpike,5,No,NicholasCage.png
1990,93,Court-Martial of Jackie RobinsonThe,Drama,BraugherAndre,DeeRuby,PeerceLarry,33,No,NicholasCage.png
1967,90,Elvira Madigan,Drama,BerggrenThommy,DegermarkPia,WiderbergBo,28,No,NicholasCage.png
1992,86,Hurricane Smith,Action,WeathersCarl,DelaneyCassandra,BuddsColin,16,No,NicholasCage.png
1987,86,Fair Game,Action,FordPeter,DelaneyCassandra,,24,No,NicholasCage.png
1989,95,Rape of the SabinesThe,Action,MooreRoger,DemongeotMylene,,83,No,NicholasCage.png
1983,99,Risky Business,Comedy,CruiseTom,DeMornayRebecca,BrickmanPaul,28,No,NicholasCage.png
1980,103,I Love All of You (Je Vous Aime),Drama,DepardieuGérard,DeneuveCatherine,BerriClaude,40,No,NicholasCage.png
1986,108,Love Songs,Drama,LambertChristopher,DeneuveCatherine,ChouraquiElie,15,No,NicholasCage.png
1983,114,Le Choix des Armes,Mystery,MontandYves,DeneuveCatherine,ComeauAlain,15,No,NicholasCage.png
1981,135,Choice of Arms,Action,MontandYves,DeneuveCatherine,CorneauAlan,87,No,NicholasCage.png
1977,107,March or Die,War,HackmanGene,DeneuveCatherine,RichardsDick,59,No,NicholasCage.png
1980,135,Last MetroThe,Drama,DepardieuGérard,DeneuveCatherine,TruffautFrançois,66,No,NicholasCage.png
1986,120,Jean de Florette,Drama,MontandYves,DepardieuElizabeth,BerriClaude,87,Yes,NicholasCage.png
1989,127,Fat Man & Little Boy,Drama,NewmanPaul,DernLaura,JoffeRoland,86,No,paulNewman.png
1990,125,Wild at Heart,Drama,CageNicolas,DernLaura,LynchDavid,6,No,NicholasCage.png
1989,113,Family Business,Action,ConnerySean,DeSotoRosana,LumetSidney,5,No,seanConnery.png
1988,103,Stand & Deliver,Drama,OlmosEdward James,DeSotoRosana,MenendezRamon,19,No,NicholasCage.png
1981,94,Looker,Science Fiction,FinneyAlbert,DeySusan,CrichtonMichael,62,No,NicholasCage.png
1989,89,Fire & Rain,Action,HaidCharles,DickinsonAngie,JamesonJerry,10,No,NicholasCage.png
1990,56,Best of Candid CameraThe,Comedy,AllenWoody,DickinsonAngie,,12,No,woody.png
1940,83,Seven Sinners,Drama,WayneJohn,DietrichMarlene,GarnettTay,24,No,johnWayne.png
1961,190,Judgment at Nuremberg,Drama,TracySpencer,DietrichMarlene,KramerStanley,39,Yes,spencerTracy.png
1989,60,Minsky's Follies,Comedy,TaylorRip,DillerPhyllis,,12,No,NicholasCage.png
1990,97,NoviceThe,Comedy,SharifOmar,DombasleArielle,,72,No,NicholasCage.png
1987,130,Wings of Desire,Drama,GanzBruno,DommartinSolveig,WendersWim,71,No,NicholasCage.png
1991,158,Until the End of the World,Drama,HurtWilliam,DommartinSolveig,WendersWim,57,No,NicholasCage.png
1987,118,Castaway,Drama,ReedOliver,DonohoeAmanda,RoegNicolas,41,No,NicholasCage.png
1993,30,Alfred Hitchcock PresentsSorcerer's Apprentice,Mystery,HitchcockAlfred,DorsDiana,,60,No,NicholasCage.png
1991,99,Delicatessen,Comedy,BenezechPascal,DougnacMarie-Laure,CaroMarc,78,No,NicholasCage.png
1979,110,Great Train RobberyThe,Mystery,ConnerySean,DownLesley-Anne,CrichtonMichael,7,No,seanConnery.png
1991,110,Hanover Street,Drama,FordHarrison,DownLesley-Anne,HyamsPeter,81,No,NicholasCage.png
1991,102,Hunchback,Drama,HopkinsAnthony,DownLesley-Anne,TuchnerMichael,33,No,AnthonyHopkins.png
1946,97,My Darling Clementine,Western,FondaHenry,DownsCathy,FordJohn,12,No,johnFord.png
1950,86,Wagon Master,Western,JohnsonBen,DruJoanne,FordJohn,30,No,johnFord.png
1949,93,She Wore a Yellow Ribbon,Western,WayneJohn,DruJoanne,FordJohn,84,No,johnWayne.png
1985,90,Fantasy Man,Comedy,HopkinsHarold,DrynanJeanie,MeagherJohn,82,No,NicholasCage.png
1986,87,Monster in the Closet,Comedy,GrantDonald,DuBarryDenise,DahlinBob,39,No,NicholasCage.png
1992,85,Double Edge,Drama,EbanAbba,DunawayFaye,KollekAmos,69,No,clintEastwood.png
1976,116,Network,Comedy,FinchPeter,DunawayFaye,LumetSidney,48,Yes,NicholasCage.png
1974,131,Chinatown,Drama,NicholsonJack,DunawayFaye,PolanskiRoman,55,Yes,JackNicholson.png
1975,117,Three Days of the Condor,Drama,RedfordRobert,DunawayFaye,PollackSydney,87,No,NicholasCage.png
1977,134,Voyage of the Damned,Drama,SydowMax von,DunawayFaye,RosenbergStuart,34,No,NicholasCage.png
1987,97,Barfly,Drama,RourkeMickey,DunawayFaye,SchroederBarbet,23,No,NicholasCage.png
1990,104,Wait Until SpringBandini,Drama,MantegnaJoe,DunawayFaye,,20,No,NicholasCage.png
1947,118,Life with Father,Comedy,PowellWilliam,DunneIrene,CurtizMichael,10,No,NicholasCage.png
1943,,A Guy Named Joe,Drama,TracySpencer,DunneIrene,FlemingVictor,42,No,spencerTracy.png
1974,117,Stavisky,Drama,BelmondoJean-Paul,DupereyAnny,ResnaisAlain,1,No,NicholasCage.png
1981,117,Time Bandits,Comedy,CleeseJohn,DuvallShelley,GilliamTerry,5,No,NicholasCage.png
1980,144,ShiningThe,Horror,NicholsonJack,DuvallShelley,KubrickStanley,32,No,JackNicholson.png
1945,91,Flame of Barbary Coast,Western,WayneJohn,DvorakAnn,KaneJoseph,54,No,johnWayne.png
1993,92,Naked TruthThe,Comedy,SellersPeter,EatonShirley,,34,No,NicholasCage.png
1979,92,BroodThe,Horror,ReedOliver,EggarSamantha,CronenbergDavid,51,No,NicholasCage.png
1970,123,Molly MaguiresThe,Action,ConnerySean,EggarSamantha,RittMartin,3,No,seanConnery.png
1984,105,Beverly Hills Cop,Comedy,MurphyEddie,EilbacherLisa,BrestMartin,41,No,NicholasCage.png
1991,86,Blind Man's Bluff,Mystery,UrichRobert,EilbacherLisa,QuinnJames,64,No,NicholasCage.png
1961,140,La Dolce Vita,Drama,MastroianniMarcello,EkbergAnita,FelliniFederico,20,No,NicholasCage.png
1966,103,After the Fox,Comedy,SellersPeter,EklandBritt,De SicaVittorio,60,No,NicholasCage.png
1974,127,Man with the Golden GunThe,Action,MooreRoger,EklandBritt,HamiltonGuy,41,No,NicholasCage.png
1985,96,Marbella,Action,TaylorRod,EklandBritt,HermosoMiguel,45,No,NicholasCage.png
1967,103,BoboThe,Comedy,SellersPeter,EklandBritt,ParrishRobert,80,No,NicholasCage.png
1993,53,Big BandsThe,Music,BenekeTex,ElgartLes,,48,No,NicholasCage.png
1992,97,Killer Image.,Mystery,IronsideMichael,ErricksonKrista,WinningDavid,8,No,NicholasCage.png
1987,94,Kandyland,Drama,LauletteCharles,EvensonKim,SchnitzerRobert Allen,41,No,NicholasCage.png
1987,94,Campus Man,Drama,DyeJohn,FairchildMorgan,CasdenRon,38,No,NicholasCage.png
1956,101,Jubal,Drama,FordGlenn,FarrFelicia,DavesDelmer,32,No,glennFord.png
1985,84,Purple Rose of CairoThe,Comedy,AielloDanny,FarrowMia,AllenWoody,20,Yes,woody.png
1984,85,Broadway Danny Rose,Comedy,AllenWoody,FarrowMia,AllenWoody,14,No,woody.png
1992,108,Husbands & Wives,Comedy,AllenWoody,FarrowMia,AllenWoody,80,No,woody.png
1986,103,Hannah & Her Sisters,Comedy,CaineMichael,FarrowMia,AllenWoody,8,Yes,woody.png
1979,115,Hurricane,Action,RobardsJason,FarrowMia,TroellJan,8,No,NicholasCage.png
1986,95,Between Two Women,Drama,NouriMichael,FawcettFarrah,AvnetJohn,52,No,NicholasCage.png
1981,96,Cannonball RunThe,Comedy,ReynoldsBurt,FawcettFarrah,NeedhamHal,80,No,NicholasCage.png
1936,70,Doughnuts & Society,Comedy,NugentEddie,FazendaLouise,CollinsLewis D.,28,No,NicholasCage.png
1978,450,Holocaust,Drama,BottomsJoseph,FeldshuhTovah,ChomskyMarvin J.,1,No,NicholasCage.png
1990,103,Meridian,Science Fiction,JamiesonMalcolm,FennSherilyn,BandCharles,47,No,NicholasCage.png
1992,90,Diary of a Hitman,Drama,WhitakerForest,FennSherilyn,LondonRoy,67,No,NicholasCage.png
1988,95,Gor,Action,ReedOliver,FerrattiRebecca,KierschFritz,2,No,NicholasCage.png
1987,95,Surrender,Comedy,CaineMichael,FieldSally,BelsonJerry,84,No,NicholasCage.png
1984,112,Places in the Heart,Drama,HarrisEd,FieldSally,BentonRobert,83,Yes,NicholasCage.png
1991,106,Not Without My Daughter,Drama,MolinaAlfred,FieldSally,GilbertBrian,55,No,NicholasCage.png
1977,113,Heroes,Drama,WinklerHenry,FieldSally,KaganJeremy Paul,17,No,NicholasCage.png
1981,116,Absence of Malice,Drama,NewmanPaul,FieldSally,PollackSydney,76,No,paulNewman.png
1979,110,Norma Rae,Drama,BridgesBeau,FieldSally,RittMartin,64,Yes,NicholasCage.png
1989,118,Steel Magnolias,Drama,SkerrittTom,FieldSally,RossHerbert,66,No,NicholasCage.png
1989,101,BurbsThe,Comedy,HanksTom,FisherCarrie,DanteJoe,42,No,NicholasCage.png
1980,124,Empire Strikes BackThe,Science Fiction,HamillMark,FisherCarrie,KershnerIrvin,33,No,NicholasCage.png
1977,121,Star Wars,Science Fiction,HamillMark,FisherCarrie,LucasGeorge,44,No,NicholasCage.png
1983,132,Return of the Jedi,Science Fiction,HamillMark,FisherCarrie,MarquandRichard,4,No,NicholasCage.png
1991,104,Hear My Song,Drama,DunbarAdrian,FitzgeraldTara,ChelsomPeter,72,No,NicholasCage.png
1956,99,Slightly Scarlet,Action,PayneJohn,FlemingRhonda,DwanAllan,52,No,NicholasCage.png
1957,120,Gunfight at the OK Corral,Western,LancasterBurt,FlemingRhonda,SturgesJohn,84,No,burtLancaster.png
1931,,Range FeudThe,Western,WayneJohn,FlemingSusan,LedermanRoss,51,No,johnWayne.png
1990,89,Bloodsucking Pharaohs in Pittsburgh,Comedy,DengelJake,FletcherSuzanne,SmitheyAlan,79,No,NicholasCage.png
1972,129,Roma,Drama,GonzalesPeter,FlorenceFiona,FelliniFederico,75,No,NicholasCage.png
1979,122,China SyndromeThe,Drama,DouglasMichael,FondaJane,BridgesJames,43,No,NicholasCage.png
1986,100,Morning AfterThe,Mystery,BridgesJeff,FondaJane,LumetSidney,6,No,NicholasCage.png
1971,114,Klute,Drama,SutherlandDonald,FondaJane,PakulaAlan J.,15,Yes,NicholasCage.png
1979,113,Electric HorsemanThe,Comedy,RedfordRobert,FondaJane,PollackSydney,34,No,NicholasCage.png
1965,97,Cat Ballou,Comedy,MarvinLee,FondaJane,SilversteinElliot,62,Yes,NicholasCage.png
1991,,Coming Home,Drama,VoightJon,FondaJane,,1,Yes,NicholasCage.png
1940,130,Rebecca,Drama,OlivierLaurence,FontaineJoan,HitchcockAlfred,78,Yes,alfredHitchcock.png
1944,96,Jane Eyre,Drama,WellesOrson,FontaineJoan,StevensonRobert,44,No,NicholasCage.png
1973,87,Stacey!,Action,RandallAnne,FordAnitra,SidarisAndy,31,No,NicholasCage.png
1992,85,Naked Obsession,Mystery,KattWilliam,FordMaria,GoldenDan,26,No,NicholasCage.png
1989,83,Stripped to Kill IILive Girls,Mystery,LottimerEd,FordMaria,RubenKatt Shea,80,No,NicholasCage.png
1990,94,Rain KillerThe,Mystery,SharkeyRay,FordMaria,SteinKen,10,No,NicholasCage.png
1983,95,Valley Girl,Comedy,CageNicolas,ForemanDeborah,CoolidgeMartha,30,No,NicholasCage.png
1991,118,Silence of the LambsThe,Mystery,HopkinsAnthony,FosterJodie,DemmeJonathan,8,Yes,AnthonyHopkins.png
1988,98,Stealing Home,Drama,HarmonMark,FosterJodie,KampmannSteven ,76,No,NicholasCage.png
1972,92,Napoleon & Samantha,Comedy,DouglasMichael,FosterJodie,McEveetyBernard,33,No,NicholasCage.png
1988,,Five Corners,Drama,RobbinsTim,FosterJodie,,88,No,NicholasCage.png
1955,,Blackboard JungleThe,Drama,FordGlenn,FrancisAnne,BrooksRichard,66,No,glennFord.png
1989,103,My Left Foot,Drama,Day-LewisDaniel,FrickerBrenda,SheridanJim,32,Yes,NicholasCage.png
1987,92,Back to the Beach,Comedy,AvalonFrankie,FunicelloAnnette,HobbsLyndall,45,No,NicholasCage.png
1934,85,Painted VeilThe,Drama,MarshallHerbert,GarboGreta,BoleslawskiRichard,57,No,gretaGarbo.png
1931,74,Inspiration,Drama,ApfelOscar,GarboGreta,BrownClarence,66,No,gretaGarbo.png
1930,92,Anna Christie,Drama,BickfordCharles,GarboGreta,BrownClarence,0,No,gretaGarbo.png
1926,109,Flesh & the DevilThe,Drama,GilbertJohn,GarboGreta,BrownClarence,72,No,gretaGarbo.png
1928,90,Woman of Affairs,Drama,GilbertJohn,GarboGreta,BrownClarence,83,No,gretaGarbo.png
1935,96,Anna Karenina,Drama,MarchFredric,GarboGreta,BrownClarence,35,Yes,gretaGarbo.png
1936,110,Camille,Drama,TaylorRobert,GarboGreta,CukorGeorge,74,No,gretaGarbo.png
1931,91,Mata Hari,Drama,NovarroRamon,GarboGreta,FitzmauriceGeorge,67,No,gretaGarbo.png
1929,100,Wild Orchids,Drama,StoneLewis,GarboGreta,FranklinSidney,70,No,gretaGarbo.png
1932,112,Grand Hotel,Drama,BarrymoreJohn,GarboGreta,GouldingEdmund,81,Yes,gretaGarbo.png
1931,84,Susan LennoxHer Fall & Rise,Drama,HaleAlan,GarboGreta,LeonardRobert Z.,64,No,gretaGarbo.png
1939,108,Ninotchka,Comedy,DouglasMelvyn,GarboGreta,LubitschErnst,40,No,gretaGarbo.png
1933,97,Queen Christina,Drama,GilbertJohn,GarboGreta,MamoulianRouben,82,No,gretaGarbo.png
1928,96,Mysterious LadyThe,Drama,NagelConrad,GarboGreta,NibloFred,72,No,gretaGarbo.png
1925,125,Joyless Street,Drama,StuartHenry,GarboGreta,PabstGeorg Wilhelm,73,No,gretaGarbo.png
1929,74,Single StandardThe,Drama,AstherNils,GarboGreta,RobertsonJohn S.,73,No,gretaGarbo.png
1932,71,As You Desire Me,Drama,DouglasMelvyn,GarboGreta,,85,No,gretaGarbo.png
1930,76,Romance,Drama,StoneLewis,GarboGreta,,62,No,gretaGarbo.png
1962,105,A Child Is Waiting,Drama,LancasterBurt,GarlandJudy,CassavetesJohn,60,No,burtLancaster.png
1982,116,Tootsie,Comedy,HoffmanDustin,GarrTeri,PollackSydney,8,Yes,NicholasCage.png
1989,86,Let It Ride,Comedy,DreyfussRichard,GarrTeri,PytkaJoe,88,No,NicholasCage.png
1953,120,Julius Caesar,Drama,BrandoMarlon,GarsonGreer,MankiewiczJoseph L.,50,No,brando.png
1979,120,Nineteen Forty-One,Comedy,BelushiJohn,GaryLorraine,SpielbergSteven,24,No,NicholasCage.png
1975,124,Jaws,Action,ScheiderRoy,GaryLorraine,SpielbergSteven,6,No,NicholasCage.png
1987,93,Hot Pursuit,Drama,CusackJohn,GazelleWendy,LisbergerSteven,44,No,NicholasCage.png
1989,120,Triumph of the Spirit,Drama,DafoeWillem,GazelleWendy,YoungRobert M.,49,No,NicholasCage.png
1975,111,Brannigan,Drama,WayneJohn,GeesonJudy,HickoxDouglas,64,No,johnWayne.png
1979,89,Buffet Froid,Comedy,DepardieuGérard,GenceDenise,BlierBertrand,75,No,NicholasCage.png
1986,122,Salvador,Drama,WoodsJames,GibbCynthia,StoneOliver,77,No,NicholasCage.png
1959,102,Horse SoldiersThe,Western,WayneJohn,GibsonAlthea,FordJohn,76,No,johnWayne.png
1954,108,Long John Silver,Action,NewtonRobert,GilchristConnie,HaskinByron,56,No,NicholasCage.png
1961,134,HustlerThe,Drama,NewmanPaul,GleasonJackie,RossenRobert,43,Yes,paulNewman.png
1983,109,Star ChamberThe,Drama,DouglasMichael,GlessSharon,HyamPeter,3,No,NicholasCage.png
1988,100,Clara's Heart,Drama,OntkeanMichael,GoldbergWhoopi,MulliganRobert,60,No,NicholasCage.png
1987,102,Burglar,Comedy,GoldthwaitBob,GoldbergWhoopi,WilsonHugh,44,No,NicholasCage.png
1986,120,Comic Relief,Comedy,CrystalBilly,GoldbergWhoopi,,69,No,NicholasCage.png
1978,117,Bloodbrothers,Drama,SorvinoPaul,GoldoniLelia,MulliganRobert,11,No,NicholasCage.png
1988,134,Rain Man,Drama,HoffmanDustin,GolinoValeria,LevinsonBarry,8,Yes,NicholasCage.png
1966,95,Masculine Feminine,Drama,LeaudJean-Pierre,GoyaChantal,GodardJean-Luc,20,No,NicholasCage.png
1964,51,Outer LimitsThe,Science Fiction,PerrinVic,GrahameGloria,StanleyPaul,27,No,NicholasCage.png
1988,,Mama's Dirty Girls,Horror,CurrieSondra,GrahameGloria,,62,No,NicholasCage.png
1979,180,Last Ride of the Dalton GangThe,Western,PalanceJack,GreenbushLindsay,CurtisDan,62,No,NicholasCage.png
1991,,Why Me?,Comedy,LambertChristopher,GreistKim,,74,No,NicholasCage.png
1932,66,Number Seventeen,Crime,LionLeon M.,GreyAnne,HitchcockAlfred,66,No,alfredHitchcock.png
1986,120,Manhunter,Drama,PetersenWilliam L.,GriestKim,MannMichael,19,No,NicholasCage.png
1990,126,Bonfire of the VanitiesThe,Drama,HanksTom,GriffithMelanie,De PalmaBrian,82,No,NicholasCage.png
1988,115,Working Girl,Comedy,FordHarrison,GriffithMelanie,NicholsMike,25,No,NicholasCage.png
1992,133,Shining Through,Mystery,DouglasMichael,GriffithMelanie,SeltzerDavid,11,No,NicholasCage.png
1991,76,Slumber Party Massacre III,Horror,ChristianKeely,GryeBrittain,,40,No,NicholasCage.png
1988,99,Tokyo Pop,Comedy,TadokoroYutaka,HamiltonCarrie,KuzuiFran Rubel,2,No,NicholasCage.png
1991,136,Terminator 2,Action,SchwarzeneggerArnold,HamiltonLinda,CameronJames,8,No,T2.png
1984,108,TerminatorThe,Action,SchwarzeneggerArnold,HamiltonLinda,CameronJames,17,No,T2.png
1986,105,King Kong Lives!,Action,KerwinBrian,HamiltonLinda,GuillerminJohn,20,No,NicholasCage.png
1969,125,Those Daring Young Men in Their Jaunty,Comedy,CurtisTony,HampshireSusan,,59,No,NicholasCage.png
1991,186,At Play in the Fields of the Lord,Drama,BerengerTom,HannahDaryl,BabencoHector,81,No,NicholasCage.png
1990,,Crazy People,Comedy,MooreDudley,HannahDaryl,BillTony,61,No,NicholasCage.png
1992,99,Memoirs of an Invisible Man,Comedy,ChaseChevy,HannahDaryl,CarpenterJohn,58,No,NicholasCage.png
1985,100,Clan of the Cave BearThe,Drama,RemarJames,HannahDaryl,ChapmanMichael,73,No,NicholasCage.png
1983,82,Final TerrorThe,Horror,ZmedAdrian,HannahDaryl,DavisAndrew,24,No,NicholasCage.png
1984,93,Reckless,Drama,QuinnAidan,HannahDaryl,FoleyJames,14,No,NicholasCage.png
1989,,High Spirits,Comedy,O'ToolePeter,HannahDaryl,JordanNeil,53,No,NicholasCage.png
1987,107,Roxanne,Comedy,MartinSteve,HannahDaryl,SchepisiFred,66,No,NicholasCage.png
1982,117,Blade Runner,Action,FordHarrison,HannahDaryl,ScottRidley,1,No,NicholasCage.png
1987,126,Wall Street,Drama,DouglasMichael,HannahDaryl,StoneOliver,6,Yes,NicholasCage.png
1992,111,Pope of Greenwich Village,Drama,RourkeMickey,HannahDaryl,,58,No,NicholasCage.png
1989,89,After School,Drama,BottomsSam,HannahPage,,59,No,NicholasCage.png
1938,298,Flaming Frontiers,Western,BrownJohnny Mack,HansenEleanor,TaylorRay,82,No,NicholasCage.png
1936,89,Libeled Lady,Comedy,PowellWilliam,HarlowJean,ConwayJack,86,No,NicholasCage.png
1976,99,Inserts,Drama,DreyfussRichard,HarperJessica,ByrumJohn,85,No,NicholasCage.png
1988,88,Blue IguanaThe,Drama,McDermottDylan,HarperJessica,LafiaJohn,65,No,NicholasCage.png
1983,93,Tender Mercies,Drama,DuvallRobert,HarperTess,BeresfordBruce,61,Yes,NicholasCage.png
